round,seed,epsilon_level,mode,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc,epsilon_ihm,epsilon_decomp,epsilon_pheno,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,grad_sim_ihm_decomp,grad_sim_ihm_pheno,grad_sim_decomp_pheno,sigma_decomp,sigma_ihm,sigma_pheno
73,42,5.0,uniform,0.7973574777332388,0.4368269805242675,0.49687111150849783,0.10219443403824562,0.5702172224011604,4.205593247539385,4.205593247539385,4.205593247539385,0.6948436447886921,0.33300762763450237,1.354294927880233,0.44298316701010326,6.1,,,,1.164328932762146,0.5765489935874939,0.6658238172531128
74,42,5.0,uniform,0.7821930885572338,0.4408123527501199,0.5399522710120909,0.14354196345997036,0.5710715598528049,4.236744043921112,4.236744043921112,4.236744043921112,0.6950104749358897,0.3318821063598691,1.3578155584730955,0.4434916634747035,6.1,,,,1.1647553443908691,0.5751917958259583,0.6651915907859802
75,42,5.0,uniform,0.7930174168890843,0.44140196771331275,0.48869736266473374,0.11082265771429414,0.5689023189508887,4.267869787400988,4.267869787400988,4.267869787400988,0.687291561255809,0.3290418810719486,1.3515472188266604,0.4425304451363576,6.1,,,,1.161897897720337,0.5736863613128662,0.662999153137207
76,42,5.0,uniform,0.7982004991486482,0.4384678405943441,0.4535509877367156,0.0930485833189783,0.5755958271629008,4.29838906088292,4.29838906088292,4.29838906088292,0.6883870248711266,0.32813608177884696,1.3591574313338668,0.4422281731944938,6.1,-0.00011772721336456016,-0.21311813592910767,-0.0005818312056362629,1.167197346687317,0.5742433071136475,0.6669762134552002
77,42,5.0,uniform,0.7907690821062874,0.4253864384718513,0.5247053927156878,0.11755084411878441,0.5731312175847109,4.328908334364854,4.328908334364854,4.328908334364854,0.6851434161048789,0.3273651179528132,1.3515700406382698,0.4428537097560266,6.1,,,,1.165834665298462,0.572488009929657,0.6656872630119324
78,42,5.0,uniform,0.795156625381942,0.4466991285142428,0.5110966703602347,0.1188106863814957,0.5729833615705751,4.359427607846786,4.359427607846786,4.359427607846786,0.6877467981071972,0.3265720005899538,1.364602318757486,0.4420039221709472,6.1,,,,1.1679824590682983,0.5723885297775269,0.6638076901435852
79,42,5.0,uniform,0.7949167141490983,0.4536245988139575,0.5531841855682613,0.1281849407809758,0.5732104408951433,4.389946881328719,4.389946881328719,4.389946881328719,0.6822921131375576,0.3270311964651383,1.3470219105612242,0.44228596302099105,6.2,,,,1.1633837223052979,0.5716711282730103,0.665205717086792
80,42,5.0,uniform,0.7927908340580652,0.44106945297030087,0.5048745517424168,0.11428219173338833,0.5666280263275821,4.419858032948598,4.419858032948598,4.419858032948598,0.6950029669630475,0.33093667219039136,1.3636309176553285,0.44284053114303856,6.1,,,,1.1641401052474976,0.5734301805496216,0.664657711982727
81,42,5.0,uniform,0.7744184651678879,0.4352732889160002,0.48846744604144243,0.11618238749577361,0.5760875572081511,4.449749920020235,4.449749920020235,4.449749920020235,0.6809688141512559,0.3268066424730043,1.3444752128363697,0.44226284370672236,6.1,6.908562500029802e-05,0.2061750888824463,6.918948201928288e-05,1.161311388015747,0.5718665719032288,0.6649746298789978
82,42,5.0,uniform,0.7982688072079998,0.45033310178749575,0.5219352167336724,0.1526853960896668,0.5758383802723719,4.4796418070918715,4.4796418070918715,4.4796418070918715,0.6864264643869025,0.32865593117137143,1.3514772539055504,0.44231520222264087,6.1,,,,1.163163185119629,0.573084831237793,0.665528416633606
